CustomerID,Lookalikes
C0001,"[('C0069', 0.9325633571564249), ('C0048', 0.837963708818587), ('C0055', 0.820121877547239)]"
C0002,"[('C0133', 0.9455138183180272), ('C0159', 0.8794054641065555), ('C0062', 0.8473455253464366)]"
C0003,"[('C0144', 0.8660738941392474), ('C0089', 0.8623558308836566), ('C0110', 0.821598249695265)]"
C0004,"[('C0113', 0.9151025343037085), ('C0017', 0.9059472786493566), ('C0065', 0.8906655030915998)]"
C0005,"[('C0007', 0.9505641492721658), ('C0140', 0.8884758364439166), ('C0095', 0.8859484545891699)]"
C0006,"[('C0185', 0.787851774643963), ('C0135', 0.7674460947000198), ('C0073', 0.7454547171909212)]"
C0007,"[('C0197', 0.955659083660661), ('C0005', 0.9505641492721658), ('C0120', 0.8843384283773534)]"
C0008,"[('C0162', 0.9166382888915408), ('C0181', 0.872075858688518), ('C0090', 0.8375723668311523)]"
C0009,"[('C0198', 0.933041605268672), ('C0058', 0.9249349208796982), ('C0083', 0.9245223697457905)]"
C0010,"[('C0030', 0.8764764703841202), ('C0029', 0.8394812647795593), ('C0034', 0.8058342832463565)]"
C0011,"[('C0126', 0.9123857236192873), ('C0171', 0.8977432603390844), ('C0193', 0.8822041954989684)]"
C0012,"[('C0065', 0.9445264194007609), ('C0104', 0.8960566007386614), ('C0037', 0.8745375113759033)]"
C0013,"[('C0105', 0.9384637175104779), ('C0067', 0.9060730993870374), ('C0102', 0.8620670544602197)]"
C0014,"[('C0060', 0.9994737884954576), ('C0015', 0.9584761473558139), ('C0123', 0.9546919665811313)]"
C0015,"[('C0123', 0.9989752019177153), ('C0014', 0.9584761473558139), ('C0060', 0.9574786936842703)]"
C0016,"[('C0183', 0.9221755953717381), ('C0107', 0.9193796132987654), ('C0088', 0.8753194592307666)]"
C0017,"[('C0075', 0.9308405251522935), ('C0122', 0.9104085562559076), ('C0004', 0.9059472786493566)]"
C0018,"[('C0148', 0.866560464051501), ('C0114', 0.8374571396182579), ('C0168', 0.802092086549452)]"
C0019,"[('C0191', 0.9513577525322078), ('C0174', 0.8478549131723776), ('C0126', 0.8121970869288411)]"
C0020,"[('C0080', 0.9183371138479066), ('C0095', 0.9111809835017722), ('C0140', 0.904410941460712)]"
C0021,"[('C0155', 0.9200320148828306), ('C0057', 0.8831491459276196), ('C0101', 0.8660755438484491)]"
C0022,"[('C0145', 0.9384360928644568), ('C0099', 0.9339486811800857), ('C0093', 0.8584466660098361)]"
C0023,"[('C0155', 0.932365573609547), ('C0068', 0.9094392062125194), ('C0057', 0.8506704011129985)]"
C0024,"[('C0147', 0.8949474086610999), ('C0108', 0.8138385556531814), ('C0098', 0.8108800001848756)]"
C0025,"[('C0178', 0.9382130056844554), ('C0128', 0.8914782555671891), ('C0043', 0.8800696721647455)]"
C0026,"[('C0066', 0.8888624244136464), ('C0091', 0.8222871531654766), ('C0120', 0.8219019675174916)]"
C0027,"[('C0070', 0.8372105005134827), ('C0142', 0.8250949790332436), ('C0132', 0.7838109697846466)]"
C0028,"[('C0188', 0.9574829787919382), ('C0102', 0.9462408690392974), ('C0054', 0.881478422673337)]"
C0029,"[('C0077', 0.9068174908932334), ('C0010', 0.8394812647795593), ('C0061', 0.8162130071998951)]"
C0030,"[('C0010', 0.8764764703841202), ('C0034', 0.8224121986683901), ('C0134', 0.8016740530814576)]"
C0031,"[('C0166', 0.9558535082906412), ('C0159', 0.879284833641364), ('C0002', 0.8133974173537252)]"
C0032,"[('C0198', 0.9481487476918541), ('C0058', 0.9341179312717813), ('C0083', 0.9132157074403272)]"
C0033,"[('C0150', 0.9980249839944603), ('C0060', 0.9302003273137942), ('C0014', 0.928592213426475)]"
C0034,"[('C0056', 0.9283206412314686), ('C0022', 0.8526937383801959), ('C0099', 0.8231582020059943)]"
C0035,"[('C0005', 0.8832691775201836), ('C0186', 0.8705018904015389), ('C0007', 0.8692615173510402)]"
C0036,"[('C0167', 0.992654541409314), ('C0080', 0.8899599548696704), ('C0062', 0.8555015330902493)]"
C0037,"[('C0160', 0.9529620048758358), ('C0038', 0.923087524283563), ('C0136', 0.9219813126510094)]"
C0038,"[('C0160', 0.9869814183605125), ('C0037', 0.923087524283563), ('C0052', 0.8488147725125873)]"
C0039,"[('C0148', 0.8313541898890044), ('C0163', 0.81323859356412), ('C0162', 0.7921030364039555)]"
C0040,"[('C0066', 0.837776321125255), ('C0117', 0.8236350065856308), ('C0176', 0.8012219727796572)]"
C0041,"[('C0082', 0.891067908934081), ('C0004', 0.8117099021740679), ('C0046', 0.8056658146072246)]"
C0042,"[('C0061', 0.9982235768822687), ('C0083', 0.9145035622254197), ('C0077', 0.9093801801247782)]"
C0043,"[('C0015', 0.9255728200900866), ('C0123', 0.917528358133873), ('C0033', 0.912822163064049)]"
C0044,"[('C0074', 0.9232975992496597), ('C0150', 0.8140920529827762), ('C0078', 0.812917700390769)]"
C0045,"[('C0096', 0.8777463612305829), ('C0028', 0.8454020731699468), ('C0054', 0.8268843235325318)]"
C0046,"[('C0141', 0.9097022155284088), ('C0175', 0.8977011875973488), ('C0173', 0.8894997533788729)]"
C0047,"[('C0081', 0.9363464990247562), ('C0172', 0.9200023105205669), ('C0116', 0.8747329981751666)]"
C0048,"[('C0069', 0.9010287828499217), ('C0001', 0.837963708818587), ('C0055', 0.7981155100900448)]"
C0049,"[('C0067', 0.8729111323760189), ('C0107', 0.7925473245325823), ('C0088', 0.7779590408420424)]"
C0050,"[('C0115', 0.9998165331997684), ('C0112', 0.9578875042211571), ('C0186', 0.9025182460894143)]"
C0051,"[('C0162', 0.9046208926886609), ('C0122', 0.8316584017609968), ('C0054', 0.8280913129608478)]"
C0052,"[('C0038', 0.8488147725125873), ('C0178', 0.8349008337128592), ('C0160', 0.8241545619571062)]"
C0053,"[('C0143', 0.9518736304008916), ('C0046', 0.8199989098763035), ('C0170', 0.8130835565712693)]"
C0054,"[('C0188', 0.8981459424432697), ('C0028', 0.881478422673337), ('C0141', 0.8780298975405783)]"
C0055,"[('C0069', 0.9249624455551907), ('C0001', 0.820121877547239), ('C0048', 0.7981155100900448)]"
C0056,"[('C0034', 0.9283206412314686), ('C0092', 0.8562316955482479), ('C0030', 0.791492102851486)]"
C0057,"[('C0087', 0.9654837031499157), ('C0155', 0.9304453028550888), ('C0068', 0.9298483837173656)]"
C0058,"[('C0198', 0.9696237592020803), ('C0097', 0.9540418802169774), ('C0032', 0.9341179312717813)]"
C0059,"[('C0104', 0.9315171232959157), ('C0113', 0.898649049395445), ('C0100', 0.897957016511691)]"
C0060,"[('C0014', 0.9994737884954576), ('C0015', 0.9574786936842703), ('C0123', 0.9522496559876987)]"
C0061,"[('C0042', 0.9982235768822687), ('C0077', 0.9289803894328148), ('C0083', 0.9272931197207276)]"
C0062,"[('C0036', 0.8555015330902493), ('C0167', 0.8529256700235373), ('C0002', 0.8473455253464366)]"
C0063,"[('C0132', 0.9301629686954479), ('C0071', 0.9230973641922913), ('C0131', 0.9219192765893315)]"
C0064,"[('C0174', 0.9258874335078926), ('C0171', 0.9182875760199346), ('C0193', 0.8723533528686872)]"
C0065,"[('C0104', 0.9803191743075605), ('C0012', 0.9445264194007609), ('C0113', 0.9248993191853524)]"
C0066,"[('C0026', 0.8888624244136464), ('C0120', 0.8598803127798156), ('C0040', 0.837776321125255)]"
C0067,"[('C0013', 0.9060730993870374), ('C0049', 0.8729111323760189), ('C0093', 0.8559464835457392)]"
C0068,"[('C0057', 0.9298483837173656), ('C0155', 0.9192380607020513), ('C0023', 0.9094392062125194)]"
C0069,"[('C0001', 0.9325633571564249), ('C0055', 0.9249624455551907), ('C0048', 0.9010287828499217)]"
C0070,"[('C0193', 0.9159295886258386), ('C0171', 0.8517602249634866), ('C0027', 0.8372105005134827)]"
C0071,"[('C0131', 0.9925335858681938), ('C0063', 0.9230973641922913), ('C0015', 0.8939661509681722)]"
C0072,"[('C0107', 0.8492784208328265), ('C0183', 0.8346843914217609), ('C0105', 0.8180618291424115)]"
C0073,"[('C0110', 0.81959856984161), ('C0151', 0.8188603889798336), ('C0185', 0.7734453650871012)]"
C0074,"[('C0044', 0.9232975992496597), ('C0020', 0.831561450641798), ('C0132', 0.7849496666319841)]"
C0075,"[('C0017', 0.9308405251522935), ('C0057', 0.9017870435245707), ('C0122', 0.8819806274686136)]"
C0076,"[('C0189', 0.8915658713686072), ('C0178', 0.8901981587061174), ('C0025', 0.8497942446080011)]"
C0077,"[('C0061', 0.9289803894328148), ('C0042', 0.9093801801247782), ('C0029', 0.9068174908932334)]"
C0078,"[('C0123', 0.9536014304003307), ('C0015', 0.9531583820328773), ('C0150', 0.9197917115953866)]"
C0079,"[('C0196', 0.9578193868662012), ('C0138', 0.9286765997446795), ('C0185', 0.7927238841974852)]"
C0080,"[('C0020', 0.9183371138479066), ('C0151', 0.911669229575271), ('C0095', 0.9106150510691216)]"
C0081,"[('C0047', 0.9363464990247562), ('C0139', 0.8525658233463582), ('C0116', 0.8246379134456695)]"
C0082,"[('C0041', 0.891067908934081), ('C0165', 0.8548410276539554), ('C0169', 0.8435521206249821)]"
C0083,"[('C0061', 0.9272931197207276), ('C0058', 0.9247156019274653), ('C0009', 0.9245223697457905)]"
C0084,"[('C0105', 0.8580255284313768), ('C0068', 0.8470364485185782), ('C0101', 0.8420991546626576)]"
C0085,"[('C0123', 0.8997823292397571), ('C0140', 0.8993487785746171), ('C0015', 0.8942113798610102)]"
C0086,"[('C0076', 0.8461394835589043), ('C0166', 0.8000141595386999), ('C0031', 0.7982470085974658)]"
C0087,"[('C0057', 0.9654837031499157), ('C0155', 0.9020832223067131), ('C0101', 0.8803717621476168)]"
C0088,"[('C0016', 0.8753194592307666), ('C0192', 0.8562205115086753), ('C0107', 0.8327145972133451)]"
C0089,"[('C0110', 0.930250884733232), ('C0151', 0.911712216373954), ('C0144', 0.8824038925532646)]"
C0090,"[('C0194', 0.9564799896565672), ('C0122', 0.9451306345813215), ('C0017', 0.8871792795619987)]"
C0091,"[('C0190', 0.9491987556859475), ('C0026', 0.8222871531654766), ('C0096', 0.8051429411892266)]"
C0092,"[('C0056', 0.8562316955482479), ('C0029', 0.8134499659625939), ('C0010', 0.7738480334583109)]"
C0093,"[('C0145', 0.9282408759035762), ('C0109', 0.8991732504263087), ('C0098', 0.8799081562664871)]"
C0094,"[('C0032', 0.8344920065577349), ('C0063', 0.7892031849312621), ('C0121', 0.7775113167437793)]"
C0095,"[('C0140', 0.9921516181672759), ('C0060', 0.9208238057121548), ('C0014', 0.9207775616386438)]"
C0096,"[('C0045', 0.8777463612305829), ('C0114', 0.8435580998596173), ('C0149', 0.8162229264769746)]"
C0097,"[('C0128', 0.9566497400626041), ('C0058', 0.9540418802169774), ('C0014', 0.9169756682278759)]"
C0098,"[('C0093', 0.8799081562664871), ('C0024', 0.8108800001848756), ('C0067', 0.7872092980577228)]"
C0099,"[('C0022', 0.9339486811800857), ('C0109', 0.8608822160757426), ('C0145', 0.860257679767228)]"
